year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany
2004,Berlin,306770,1880721,2408,3380,79.43,0.3703,0
2004,Bonn,52715,157732,326,811,90.84,0.472,0
2004,Chemnitz,31115,167193,339,463,71.06,0.25,1
2004,Dortmund,88901,305993,807,1170,83.61,0.6583,0
2004,Dresden,52698,289446,544,718,86.89,0.6,1
2004,Duisburg,78425,260623,596,819,83.67,0.6479,0
2004,Düsseldorf,139259,484490,7988,13305,92.79,0.5091,0
2004,Erfurt,25546,113952,356,397,109.35,NA,NA
2004,Frankfurt,71367,344894,524,1543,87.39,0.4497,0
2004,Hamburg,233405,875355,1699,3473,91.15,0.535,0
2004,Karlsruhe,569539,1294927,5853,8918,97.91,0.2478,0
2004,Köln,208709,687242,10145,17171,95.19,0.7003,0
2004,Lübeck,40328,114390,272,514,83.42,0.1959,0
2004,Münster,108123,246913,6931,9777,92.27,0.3931,0
2004,Potsdam,27123,97341,1301,1661,76.1,0.2,1
2004,Stuttgart,829151,1846684,8067,14126,97.09,0.2979,0
2004,Wiesbaden,35427,136895,228,613,91.72,0.2235,0
2005,Berlin,309178,1884101,2151,3184,76.75,0.3703,0
2005,Bonn,53041,158543,259,541,89.32,0.472,0
2005,Chemnitz,31454,167656,269,322,73.89,0.25,1
2005,Dortmund,89708,307163,602,826,83.99,0.6583,0
2005,Dresden,53242,290164,484,583,86.04,0.6,1
2005,Duisburg,79021,261442,415,692,83.56,0.6479,0
2005,Düsseldorf,147247,497795,6707,11007,94.84,0.5091,0
2005,Erfurt,25902,114349,265,465,101.48,NA,NA
2005,Frankfurt,71891,346437,620,2583,88.07,0.4497,0
2005,Hamburg,235104,878828,1442,2836,90.14,0.535,0
2005,Karlsruhe,575392,1303845,5634,8357,96.15,0.2478,0
2005,Köln,218854,704413,8597,14323,94.24,0.7003,0
2005,Lübeck,40600,114904,294,408,82.83,0.1959,0
2005,Münster,115054,256690,6011,8572,88.75,0.3931,0
2005,Potsdam,28424,99002,1314,1678,77.06,0.2,1
2005,Stuttgart,837218,1860810,7159,13329,93.82,0.2979,0
2005,Wiesbaden,35655,137508,145,396,87.9,0.2235,0
2006,Berlin,311329,1887285,2303,2781,75.44,0.3703,0
2006,Bonn,53300,159084,448,784,88.92,0.472,0
2006,Chemnitz,31723,167978,222,253,75.84,0.25,1
2006,Dortmund,90310,307989,789,1247,82.88,0.6583,0
2006,Dresden,53726,290747,499,636,84.88,0.6,1
2006,Duisburg,79436,262134,404,595,85.69,0.6479,0
2006,Düsseldorf,153954,508802,6548,11148,97.96,0.5091,0
2006,Erfurt,26167,114814,244,274,109.95,NA,NA
2006,Frankfurt,72511,349020,715,2109,85.9,0.4497,0
2006,Hamburg,236546,881664,1882,3930,91.64,0.535,0
2006,Karlsruhe,581026,1312202,5810,8503,100.3,0.2478,0
2006,Köln,227451,718736,8335,14208,95.22,0.7003,0
2006,Lübeck,40894,115312,373,482,81.31,0.1959,0
2006,Münster,121065,265262,5972,8550,88,0.3931,0
2006,Potsdam,29738,100680,1132,1274,78.32,0.2,1
2006,Stuttgart,844377,1874139,7705,14232,96.25,0.2979,0
2006,Wiesbaden,35800,137904,191,461,86.15,0.2235,0
2007,Berlin,313632,1890066,2271,3330,74.21,0.3703,0
2007,Bonn,53748,159868,354,853,88.37,0.472,0
2007,Chemnitz,31945,168231,223,246,66.57,0.25,1
2007,Dortmund,91099,309236,573,876,77.69,0.6583,0
2007,Dresden,54225,291383,353,522,82.12,0.6,1
2007,Duisburg,79840,262729,455,855,80.81,0.6479,0
2007,Düsseldorf,160502,519950,6073,10858,96.97,0.5091,0
2007,Erfurt,26411,115088,144,206,108.43,NA,NA
2007,Frankfurt,73226,351129,816,2746,88.41,0.4497,0
2007,Hamburg,238428,885594,1318,2899,87.94,0.535,0
2007,Karlsruhe,586836,1320705,4925,8807,96.78,0.2478,0
2007,Köln,235786,732944,7497,12899,90.9,0.7003,0
2007,Lübeck,41267,115794,237,336,77.38,0.1959,0
2007,Münster,127037,273812,5507,8524,85.75,0.3931,0
2007,Potsdam,30870,101954,1080,1248,81.12,0.2,1
2007,Stuttgart,852082,1888371,6592,12538,98.63,0.2979,0
2007,Wiesbaden,35991,138365,227,568,87.03,0.2235,0
2008,Berlin,315903,1893396,3642,5984,71.71,0.3703,0
2008,Bonn,54102,160721,340,777,81.74,0.472,0
2008,Chemnitz,32168,168477,179,263,67.78,0.25,1
2008,Dortmund,91672,310112,393,679,76.38,0.6583,0
2008,Dresden,54578,291905,384,552,81.48,0.6,1
2008,Duisburg,80295,263584,229,504,78.76,0.6479,0
2008,Düsseldorf,166575,530808,4967,8740,93.3,0.5091,0
2008,Erfurt,26555,115294,222,277,98.49,NA,NA
2008,Frankfurt,74042,353875,572,1904,86.77,0.4497,0
2008,Hamburg,239746,888493,1527,3474,87.99,0.535,0
2008,Karlsruhe,591761,1329512,3745,6352,94.11,0.2478,0
2008,Köln,243283,745843,6551,12876,88.4,0.7003,0
2008,Lübeck,41504,116130,219,319,72.87,0.1959,0
2008,Münster,132544,282336,3748,6481,82.43,0.3931,0
2008,Potsdam,31950,103202,1016,1337,81.21,0.2,1
2008,Stuttgart,858674,1900909,5143,10864,92.93,0.2979,0
2008,Wiesbaden,36218,138933,235,453,79.75,0.2235,0
2009,Berlin,319545,1899380,2974,5666,72.52,0.3703,0
2009,Bonn,54442,161498,356,673,84.86,0.472,0
2009,Chemnitz,32347,168740,153,192,61.51,0.25,1
2009,Dortmund,92065,310791,434,775,74.39,0.6583,0
2009,Dresden,54962,292457,314,476,83.85,0.6,1
2009,Duisburg,80524,264088,234,334,78.43,0.6479,0
2009,Düsseldorf,171542,539548,4073,7297,94.5,0.5091,0
2009,Erfurt,26777,115571,155,233,102.09,NA,NA
2009,Frankfurt,74614,355779,590,2564,85.7,0.4497,0
2009,Hamburg,241273,891967,1190,3187,87.78,0.535,0
2009,Karlsruhe,595506,1335864,3782,7140,91.31,0.2478,0
2009,Köln,249834,758719,5731,10799,89.81,0.7003,0
2009,Lübeck,41723,116449,196,618,73.85,0.1959,0
2009,Münster,136292,288817,3340,5565,82.87,0.3931,0
2009,Potsdam,32966,104539,963,1495,83.48,0.2,1
2009,Stuttgart,863817,1911773,4629,10268,95.71,0.2979,0
2009,Wiesbaden,36453,139386,227,429,80.25,0.2235,0
2010,Berlin,322519,1905046,2924,6748,73.92,0.3703,0
2010,Bonn,54798,162171,340,599,86.26,0.472,0
2010,Chemnitz,32500,168932,116,153,64.05,0.25,1
2010,Dortmund,92499,311566,528,992,79.53,0.6583,0
2010,Dresden,55276,292933,364,517,84.71,0.6,1
2010,Duisburg,80758,264422,199,315,78.53,0.6479,0
2010,Düsseldorf,175615,546845,4100,8133,92.92,0.5091,0
2010,Erfurt,26932,115804,205,404,114.53,NA,NA
2010,Frankfurt,75204,358343,557,2648,85.56,0.4497,0
2010,Hamburg,242463,895154,1286,3051,91.56,0.535,0
2010,Karlsruhe,599288,1343004,3569,6033,94.63,0.2478,0
2010,Köln,255565,769518,5672,11178,91.54,0.7003,0
2010,Lübeck,41919,117067,196,409,75.92,0.1959,0
2010,Münster,139632,294382,3863,7184,84.49,0.3931,0
2010,Potsdam,33929,106034,928,1678,79.81,0.2,1
2010,Stuttgart,868446,1922041,4734,9843,97.33,0.2979,0
2010,Wiesbaden,36680,139815,275,524,83.39,0.2235,0
2011,Berlin,325443,1911794,3144,6998,77.21,0.3703,0
2011,Bonn,55138,162770,276,605,89.72,0.472,0
2011,Chemnitz,32616,169085,224,297,65.57,0.25,1
2011,Dortmund,93027,312558,551,968,79.73,0.6583,0
2011,Dresden,55640,293450,407,1061,90.28,0.6,1
2011,Duisburg,80957,264737,188,477,79.23,0.6479,0
2011,Düsseldorf,179715,554978,4119,7122,100.18,0.5091,0
2011,Erfurt,27137,116208,113,225,118.62,NA,NA
2011,Frankfurt,75761,360991,515,2048,90.25,0.4497,0
2011,Hamburg,243749,898205,1378,3307,96.03,0.535,0
2011,Karlsruhe,602857,1349037,4043,6775,95.12,0.2478,0
2011,Köln,261237,780696,5989,11730,94.32,0.7003,0
2011,Lübeck,42115,117476,177,592,76.74,0.1959,0
2011,Münster,143495,301566,4158,7106,86.29,0.3931,0
2011,Potsdam,34857,107712,889,1232,88.7,0.2,1
2011,Stuttgart,873180,1931884,5298,11036,101.8,0.2979,0
2011,Wiesbaden,36955,140339,198,436,83.76,0.2235,0
2012,Berlin,328587,1918792,4130,8360,80.35,0.3703,0
2012,Bonn,55414,163375,213,896,92.36,0.472,0
2012,Chemnitz,32840,169382,167,231,62.72,0.25,1
2012,Dortmund,93578,313526,396,582,75.99,0.6583,0
2012,Dresden,56047,294511,481,1012,93.9,0.6,1
2012,Duisburg,81145,265214,273,551,78.11,0.6479,0
2012,Düsseldorf,183834,562100,4769,9476,111.52,0.5091,0
2012,Erfurt,27250,116433,225,313,114.8,NA,NA
2012,Frankfurt,76276,363039,549,2223,94.54,0.4497,0
2012,Hamburg,245127,901512,1246,3309,99.47,0.535,0
2012,Karlsruhe,606900,1355812,4351,9158,95.49,0.2478,0
2012,Köln,267226,792426,5704,12660,95.52,0.7003,0
2012,Lübeck,42292,118068,196,462,76.65,0.1959,0
2012,Münster,147653,308672,4542,8947,90.57,0.3931,0
2012,Potsdam,35746,108944,1080,1562,88.06,0.2,1
2012,Stuttgart,878478,1942920,5655,12850,101.48,0.2979,0
2012,Wiesbaden,37153,140775,129,334,85.75,0.2235,0
2013,Berlin,332717,1927152,4020,9052,87.62,0.3703,0
2013,Bonn,55627,164271,212,691,91.8,0.472,0
2013,Chemnitz,33007,169613,169,202,68.76,0.25,1
2013,Dortmund,93974,314108,671,1119,78.03,0.6583,0
2013,Dresden,56528,295523,335,810,102.7,0.6,1
2013,Duisburg,81418,265765,235,444,79.34,0.6479,0
2013,Düsseldorf,188603,571576,4231,9343,107.15,0.5091,0
2013,Erfurt,27475,116746,169,271,120.27,NA,NA
2013,Frankfurt,76825,365262,559,2828,99.92,0.4497,0
2013,Hamburg,246373,904821,1906,5952,104.67,0.535,0
2013,Karlsruhe,611251,1364970,3866,7297,102.28,0.2478,0
2013,Köln,272930,805086,6117,13577,102.01,0.7003,0
2013,Lübeck,42488,118530,48,160,84.35,0.1959,0
2013,Münster,152195,317619,4265,8923,95.54,0.3931,0
2013,Potsdam,36826,110506,956,1593,90.83,0.2,1
2013,Stuttgart,884133,1955770,5269,12122,105.65,0.2979,0
2013,Wiesbaden,37282,141109,214,524,86.02,0.2235,0
2014,Berlin,336737,1936204,4262,14138,93.51,0.3703,0
2014,Bonn,55839,164962,145,769,97.58,0.472,0
2014,Chemnitz,33176,169815,206,410,64.72,0.25,1
2014,Dortmund,94645,315227,423,948,79.81,0.6583,0
2014,Dresden,56863,296333,438,1298,105.89,0.6,1
2014,Duisburg,81653,266209,277,493,80.95,0.6479,0
2014,Düsseldorf,192834,580919,4497,11590,112.94,0.5091,0
