year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,demand_cutoff,demand_cutoff_lag,inelasticity_cutoff,inelasticity_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window,superstar_ever
2019,Köln,306787,894077,5380,15041,148.18,0.7003,0,35076,27444,23514,1.2780935723655444,TRUE,1.1671344730798674,0.056922887880530126,0.013850446812773809,4.109823217257658,0.07077333469330394,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,2.6460740010965766,0.04905985849461847,1,2015-2019,1
2019,Leipzig,61126,328153,323,1563,175.33,0.25,1,NA,NA,NA,NA,NA,NA,0.08908873759996205,0.003060013916518667,29.11383412965553,0.09214875151648072,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,NA,NA,NA,2015-2019,0
2019,Lübeck,43348,120883,137,810,129.97,0.1959,0,31332,25272,23514,1.2397910731244064,FALSE,1.0747639704006124,0.07624332630755215,0.0028786939265696976,26.485388253278124,0.07912202023412185,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,11.384029196535426,0.035261084953383204,0,2015-2019,1
2019,Münster,176338,371438,3831,9294,142.33,0.3931,0,36360,27096,23514,1.341895482728078,TRUE,1.1523347792804286,0.05683384895896171,0.02062440677813049,2.755659814624421,0.0774582557370922,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,2.132382428870708,0.06732021982343483,1,2015-2019,1
2019,Potsdam,42747,123963,932,2493,164.34,0.2,1,31656,24264,23514,1.304648862512364,TRUE,1.031895891809135,0.09542701952254551,0.017017694393502758,5.607517523582919,0.11244471391604827,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,2.896874734339769,0.044008200196544944,1,2015-2019,1
2019,Stuttgart,915172,2036917,4678,12523,171.42,0.2979,0,39408,31680,23514,1.243939393939394,FALSE,1.3472824700178616,0.07035069161577234,0.00554235005650261,12.69329632711178,0.07589304167227495,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,7.2720881251786444,0.04197358229435921,1,2015-2019,1
2019,Wiesbaden,38152,144271,119,393,108,0.2235,0,40008,31008,23514,1.290247678018576,TRUE,1.3187037509568769,0.03776069428868989,0.0029213685652480503,12.925686521681207,0.04068206285393794,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,5.306612984534046,0.016477968954737632,0,2015-2019,0
2020,Berlin,361831,2076728,3178,29408,174.39,0.3703,0,NA,NA,NA,NA,NA,NA,0.0850884690245266,0.010838883698010227,7.850298185240876,0.09592735272253683,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,15.059003761448958,0.08112533969183144,1,NA,1
2020,Bonn,57065,171860,164,1064,131.63,0.472,0,NA,NA,NA,NA,NA,NA,0.03824073700877628,0.005889928861490645,6.492563477090651,0.04413066587026693,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,7.951149869408899,0.03815707799543988,0,NA,0
2020,Chemnitz,34387,172254,171,410,81.15,0.25,1,NA,NA,NA,NA,NA,NA,0.035170111869557985,0.001871668669751525,18.790778751576273,0.03704178053930951,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,11.448161377187345,0.01859653238915948,0,NA,0
2020,Dortmund,97269,321959,416,1636,118.19,0.6583,0,NA,NA,NA,NA,NA,NA,0.06441975214322859,0.0030637498816050712,21.026439700580145,0.06748350202483366,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,11.655789283038654,0.02849892451873992,0,NA,0
2020,Dresden,59221,308378,345,2786,168.83,0.6,1,NA,NA,NA,NA,NA,NA,0.06584168214818398,0.00610280627071913,10.788755078804995,0.07194448841890311,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,17.622612575018717,0.05815088592149742,1,NA,1
2020,Duisburg,82969,269230,185,434,115.11,0.6479,0,NA,NA,NA,NA,NA,NA,0.056454471140023,0.001610845600156674,35.04648188164783,0.05806531674017967,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,16.385136708098457,0.024290908488920904,0,NA,0
2020,Düsseldorf,217970,651537,3879,11958,157.38,0.5091,0,NA,NA,NA,NA,NA,NA,0.0494411969975046,0.015939722789411137,3.101760152965064,0.06538091978691574,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,1.5095088221297326,0.034659759278259594,0,NA,0
2020,Erfurt,28558,118976,122,301,175.36,NA,NA,NA,NA,NA,NA,NA,NA,0.045368455412470476,0.0022508647318943975,20.15601149620705,0.047619320144364874,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,19.848956681971707,0.04326101838747953,0,NA,1
2020,Frankfurt,80085,390828,390,3465,171.42,0.4497,0,NA,NA,NA,NA,NA,NA,0.0662748636802506,0.007864343487020697,8.42725954043469,0.07413920716727129,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,8.121682095491371,0.06332146633679048,1,NA,1
2020,Hamburg,258315,957181,1624,10640,175.85,0.535,0,NA,NA,NA,NA,NA,NA,0.06133660152149334,0.0069668555685007405,8.804058146233812,0.06830345708999408,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,11.067646806427797,0.06098818825084007,1,NA,1
2020,Karlsruhe,639951,1425510,4748,11223,158.71,0.2478,0,NA,NA,NA,NA,NA,NA,0.05117496694726609,0.0051542675288527295,9.92865943818344,0.05632923447611882,0.06789347955741387,0.05795953794264319,0.5322569561262933,0.5322569561262933,10.836347569594322,0.05795953794264319,0,NA,0
